"age"	"rinimm"	"rinmat"	"Nimm"	"Nmat"
0	0	0	0	0
1	836.08448	0	0.116502419180297	0
2	706.95092	0	0.0985085770540035	0
3	597.57335	0	0.0832675914671616	0
4	504.94359	0	0.0703602939556825	0
5	0	439.5802	0	0.0612523709610764
6	0	382.35059	0	0.0532778322951453
7	0	342.89063	0	0.0477793678328487
8	0	305.98866	0	0.0426373410635936
9	0	283.69053	0	0.0395302554157453
10	0	265.7688	0	0.0370329899469542
11	0	243.70007	0	0.0339578695557268
12	0	223.39573	0	0.0311286043481496
13	0	204.7771	0	0.0285342308264418
14	0	181.37078	0	0.025272726792653
15	0	171.46947	0	0.0238930497436854
16	0	156.63402	0	0.0218258354178934
17	0	143.08213	0	0.0199374760388684
18	0	130.70274	0	0.0182124961863822
19	0	119.39441	0	0.0166367609187103
20	0	109.06447	0	0.0151973573311837
21	0	99.628269	0	0.0138824899096864
22	0	91.008485	0	0.0126813843840682
23	0	83.134478	0	0.0115841975733016
24	0	75.941727	0	0.0105819389354407
25	0	69.371288	0	0.00966639504377966
26	0	63.369322	0	0.00883006381701429
27	0	57.886641	0	0.00806609125757406
28	0	52.87832	0	0.00736821738658499
29	0	48.303316	0	0.00673072315423238
30	0	44.124139	0	0.00614838459595337
31	0	40.306542	0	0.00561642963614423
32	0	36.81924	0	0.00513049893281113
33	0	33.63366	0	0.0046866110418502
34	0	30.723694	0	0.0042811279993562
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
